Game,Tag1, Tag2, Tag3, Tag4
Abiotic Factor,Survival, Crafting, Sci-Fi
Pulsar: Lost Colony,Strategy, Exploration, Sci-Fi
Tabletop Simulator,Sandbox, Strategy, Casual
Helldivers 2,Action, Sci-Fi, Shooter
Straftat,FPS, Action, Shooter
Valheim,Survival, Open World, Crafting
Bloons TD 6,Strategy, Casual, 2D
Warhammer: Vermintide 2,Action, First-Person, Fantasy
Across the Obelisk,Strategy, Turn-Based, RPG
Brawlhalla,Action, 2D, Fighting
Barony,Roguelike, First-Person, RPG
Team Fortress 2,FPS, Shooter, Character-Based
Titanfall 2,FPS, Sci-Fi, Shooter
Supermarket Simulator,Simulation, Casual, First-Person
Left 4 Dead 2,FPS, Action, Shooter
Civilization 6,Strategy, Turn-Based, Simulation
Deep Rock Galactic,FPS, Sci-Fi, Shooter
Soldat,Action, 2D, Shooter
Garry's Mod (GMOD),Sandbox, First-Person, Physics
Borderlands,FPS, RPG, Shooter
Monster Hunter: World,Action, RPG, Open World
Ale and Tale Tavern,Simulation, Fantasy, First-Person
Payday 2,FPS, Action, Shooter
Rainbow Six Siege,FPS, Shooter, Tactical
SCP: Secret Laboratory,Horror, Sci-Fi, First-Person
Barotrauma,Survival, 2D, Sci-Fi
Fly Knight 2,Fantasy, Action, Exploration
Void Crew,Action, Sci-Fi, Simulation
SNAIL SIMULATOR,Simulation, Casual, Sandbox
BigWalk,Exploration, Open World, First-Person
Echo Point Nova,FPS, Action, Sci-Fi
Terraria,Sandbox, Survival, 2D
Call of Duty: Zombies,FPS, Survival, Shooter
Gunfire Reborn,Roguelike, FPS, RPG
Cry of Fear,Horror, FPS, Survival
Sven Co-op,FPS, Action, Shooter
Armello,Strategy, Turn-Based, Fantasy
Serious Sam 2,FPS, Action, Shooter
Speedrunners,Action, 2D, Racing
Enshrouded,Survival, Crafting, RPG
Heroes of Might and Magic V,Strategy, Turn-Based, Fantasy
Castle Crashers,2D, Action, RPG
Double Action: Boogaloo,Action, Shooter, Third-Person
7 Days to Die,Survival, Crafting, Open World
Abyssus,Roguelike, FPS, Action
Mage Arena,Action, Fantasy, Arena
Jump Space,Action, Exploration, Sci-Fi
Forever Skies,Survival, Sci-Fi, First-Person
Mycopunk,FPS, Sci-Fi, RPG
Deep Dish Dungeon,RPG, Fantasy, Roguelike
YapYap,Horror, First-Person, Survival
Roadside Research,Simulation, Sci-Fi, First-Person
Battlefield 6,FPS, Shooter, Action
Deadzone: Rogue,Roguelike, FPS, Action
