GRALIŚMY:	Łukasz	Dawid	Filip	Maks	Maja	Suma
						
PEAK	6	8	10	10		34
Abiotic Factor (1.0)	10	10	5	8		33
Pulsar: Lost Colony	9	5	8	8		30
Tabletop simulator	7	7	10	6		30
Helldivers 2	4	10	7	8		29
Straftat	7	7	6	8		28
Valheim	6	7	8	7		28
Bloons TD6	7	5	10	6		28
Dark/Vermintide	3	10	9	6		28
Across the Obelisk	8	6	1	9		24
Brawlhalla	1	7	7	7		22
Barony	7	6	2	6		21
Team Fortress2	2	4	10	4		20
Titanfall2	2	4	10	4		20
Supermarket Simulator	1	1	10	7		19
Left 4 Dead 2	5	1	8	5		19
Civilization 6	1	6	7	5		19
Deep Rock Galactic	2	1	7	8		18
Soldat	4	5	4	5		18
GMOD	1	0	7	10		18
Borderlands (idk która część)	1	3	6	7		17
Monster hunter world	1	1	9	6		17
Ale and Tale Tavern	3	1	9	3		16
Payday 2	1	1	4	3		9
Rainbow six	1	1	5	0		7
SCP: Secret laboratory	1	1	5	0		7
Krunker	1	1	1	3		6
Barotrauma	10	10	8	7		35
Fly Knight 2 (wychodzi kiedyś xd)	10	10	5	9		34
Void Crew (PULSAR 2.0)	9	6	8	8		31
SNAIL SIMULATOR	10	1	10	10		31
BigWalk (wychodzi w 2026)	10	5	6	10		31
Echo Point Nova	9	6	7	8		30
Terraria	6	7	8	8		29
Call of duty zombies	7	4	10	6		27
Gunfire Reborn	8	10	7	6		31
Cry of Fear	5	6	4	8		23
Sven Co-op	6	1	5	10		22
Armello	5	1	8	7		21
Serious Sam 2	5	3	6	8		22
Speedrunners	1	6	8	6		21
Enshrouded	7	1	6	4		18
Heroes 5	6	4	3	4		17
Castle Crashers	1	5	5	6		17
Double Action: Boogaloo	1	1	6	6		14
7 days to die	7	0	3	4		14
Abyssus	8.5	7	8.5	7.5		31.5
Mage Arena	8	6	7	7		28
Jump Space	8	7	9	9		33
Forever Skies	6.5	5	7	6		24.5
mycopunk	8	7	7	7.5		29.5
Deep Dish Dungeon (kiedyś wyjdzie)	9	8	6	9.5		32.5
YapYap	4	2	3	4.5		13.5
Roadside Research	10	1	10	10		31
battlefield 6	5	8	6	6		25
Deadzone: Rogue	7	7	8	7		29
far far west	8	6	9	8		31
The finals	7.5	4	7			18.5
Maja Wasilewska 	9	???	3	10		22
